date;Rigidity_Public_Health;curfew;domestic_travel_restrictions;restaurants_closures;sporting_events;election_postponed;bans_mass_gatherings;travel_restrictions;domestic_lockdown;public_testing;emergency_state;enhanced_surveillance;schools_closures;mask_mandates;export_support;tax_cuts;cash_transfers;tax_delays;rate_cuts;wage_support;credit_schemes;Economic_Interventions
01/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2020;.0002094;0;.0025126;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2020;.0006281;0;.0025126;0;0;;0;0;0;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
10/01/2020;.0006281;0;.0025126;0;0;;0;0;0;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
11/01/2020;.0006281;0;.0025126;0;0;;0;0;0;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
12/01/2020;.0006281;0;.0025126;0;0;;0;0;0;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
13/01/2020;.0006281;0;.0025126;0;0;;0;0;0;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
14/01/2020;.0006281;0;.0025126;0;0;;0;0;0;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
15/01/2020;.0006281;0;.0025126;0;0;;0;0;0;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
16/01/2020;.0010469;0;.0025126;0;0;;0;0;.0050251;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
17/01/2020;.0010469;0;.0025126;0;0;;0;0;.0050251;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
18/01/2020;.0010469;0;.0025126;0;0;;0;0;.0050251;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
19/01/2020;.0010469;0;.0025126;0;0;;0;0;.0050251;0;0;0;0;.0055866;0;0;0;0;0;0;0;0
20/01/2020;.001675;0;.0025126;0;0;;.0025126;0;.0050251;0;.0050251;0;0;.0055866;0;0;0;0;0;0;0;0
21/01/2020;.001675;0;.0025126;0;0;;.0025126;0;.0050251;0;.0050251;0;0;.0055866;0;0;0;0;0;0;0;0
22/01/2020;.001675;0;.0025126;0;0;;.0025126;0;.0050251;0;.0050251;0;0;.0111732;0;0;0;0;0;0;0;0
23/01/2020;.0023032;0;.0025126;0;0;;.0025126;0;.0075377;0;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
24/01/2020;.0023032;0;.0025126;0;0;;.0025126;0;.0075377;0;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
25/01/2020;.0023032;0;.0025126;0;0;;.0025126;0;.0075377;0;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
26/01/2020;.0023032;0;.0025126;0;0;;.0025126;0;.0075377;0;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
27/01/2020;.0025126;0;.0050251;0;0;;.0025126;0;.0075377;0;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
28/01/2020;.0025126;0;.0050251;0;0;;.0025126;0;.0075377;0;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
29/01/2020;.0027219;0;.0050251;0;0;;.0025126;.0025126;.0075377;0;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
30/01/2020;.0031407;0;.0050251;0;0;;.0025126;.0050251;.0075377;.0025126;.0050251;0;0;.0167598;0;0;0;0;0;0;0;0
31/01/2020;.0054439;0;.0100503;0;0;;.0025126;.0125628;.0075377;.0025126;.0100503;0;.0047619;.0223464;0;0;0;0;0;0;0;0
01/02/2020;.0054439;0;.0100503;0;0;;.0025126;.0125628;.0075377;.0025126;.0100503;0;.0047619;.0223464;0;0;0;0;0;0;0;0
02/02/2020;.0054439;0;.0100503;0;0;;.0025126;.0125628;.0075377;.0025126;.0100503;0;.0047619;.0223464;0;0;0;0;.0050505;0;0;.0007215
03/02/2020;.0056533;0;.0100503;0;0;;.0025126;.0125628;.0075377;.0050251;.0100503;0;.0047619;.0223464;0;0;0;0;.0050505;0;0;.0007215
04/02/2020;.0065098;0;.0150754;0;0;;.0025126;.0175879;.0075377;.0050251;.0100503;0;.0047619;.0223464;0;0;0;0;.0050505;0;0;.0007215
05/02/2020;.0073854;0;.0150754;0;0;;.0025126;.0226131;.0075377;.0050251;.0150754;0;.0047619;.0223464;0;0;0;0;.0050505;0;0;.0007215
06/02/2020;.0073854;0;.0150754;0;0;;.0025126;.0226131;.0075377;.0050251;.0150754;0;.0047619;.0223464;0;0;0;0;.010101;0;0;.001443
